id,exp_id,"subject_id","stage","cond",trial_idx,task_id,"task","optionA","optionB","optionC","optionD","correct_answer","recorded_answer",recorded_accuracy,recorded_time_to_action,recorded_time_to_submit,"recorded_action_result",recorded_action_count,"timestamp"
27,13,"0FCCBB","pre","interactive",2,14,"r/(x+16)=v",NULL,NULL,NULL,NULL,"r/v-16=x","4=x",0,416,672,NULL,NULL,"2015-04-23 19:02:18"
28,13,"0FCCBB","pre","interactive",3,2,"12=x/b",NULL,NULL,NULL,NULL,"12b=x","5=x",0,308,572,NULL,NULL,"2015-04-23 19:02:19"
29,13,"0FCCBB","pre","interactive",4,17,"x*10-x=d",NULL,NULL,NULL,NULL,"x=d/9","x=6",0,85,435,NULL,NULL,"2015-04-23 19:02:20"
30,13,"0FCCBB","pre","interactive",5,4,"14=x*c",NULL,NULL,NULL,NULL,"14/c=x","=x",0,131,283,NULL,NULL,"2015-04-23 19:02:21"
31,13,"0FCCBB","pre","interactive",6,11,"-14/x=1/q",NULL,NULL,NULL,NULL,"-14q=x","8=x",0,16,400,NULL,NULL,"2015-04-23 19:02:21"
32,13,"0FCCBB","pre","interactive",7,15,"ex+6x=v",NULL,NULL,NULL,NULL,"x=v/(e+6)","x=7",0,67,475,NULL,NULL,"2015-04-23 19:02:22"
33,13,"0FCCBB","pre","interactive",8,10,"d*(3+x)=k",NULL,NULL,NULL,NULL,"x=k/d-3","x=",0,2,164,NULL,NULL,"2015-04-23 19:02:23"
34,13,"0FCCBB","pre","interactive",9,0,"x-3=s",NULL,NULL,NULL,NULL,"x=s+3","x=",0,0,108,NULL,NULL,"2015-04-23 19:02:24"
35,13,"0FCCBB","pre","interactive",10,9,"s=10/x",NULL,NULL,NULL,NULL,"x=10/s","x=",0,0,4,NULL,NULL,"2015-04-23 19:02:24"
36,13,"0FCCBB","pre","interactive",11,12,"16/m=c/x",NULL,NULL,NULL,NULL,"x=(cm)/16","x=5",0,38,429,NULL,NULL,"2015-04-23 19:02:25"
37,13,"0FCCBB","pre","interactive",12,3,"x/-6=m",NULL,NULL,NULL,NULL,"x=-6m","x=",0,37,205,NULL,NULL,"2015-04-23 19:02:26"
38,13,"0FCCBB","pre","interactive",13,18,"e=x/8-tx",NULL,NULL,NULL,NULL,"e/(1/8-t)=x","=x",0,0,66,NULL,NULL,"2015-04-23 19:02:26"
39,13,"0FCCBB","pre","interactive",14,16,"14=bx-r-xm",NULL,NULL,NULL,NULL,"(14+r)/(b-m)=x","7=x",0,36,443,NULL,NULL,"2015-04-23 19:02:27"
40,13,"0FCCBB","pre","interactive",15,5,"-15*x=m",NULL,NULL,NULL,NULL,"x=m/-15","x=",0,92,252,NULL,NULL,"2015-04-23 19:02:28"
41,13,"0FCCBB","pre","interactive",16,19,"rx+h=7x",NULL,NULL,NULL,NULL,"h/(7-r)=x","=x",0,83,251,NULL,NULL,"2015-04-23 19:02:29"
42,13,"0FCCBB","pre","interactive",17,1,"7=c+x",NULL,NULL,NULL,NULL,"7-c=x","=x",0,5,181,NULL,NULL,"2015-04-23 19:02:30"
43,13,"0FCCBB","pre","interactive",18,13,"r=9+t/x",NULL,NULL,NULL,NULL,"x=t/(r-9)","x=",0,0,124,NULL,NULL,"2015-04-23 19:02:30"
44,13,"0FCCBB","pre","interactive",19,8,"8=(b+x)/n",NULL,NULL,NULL,NULL,"8n-b=x","=x",0,0,169,NULL,NULL,"2015-04-23 19:02:31"
45,13,"0FCCBB","main","interactive",0,10,"(d-m)/3=x","d+m=x*3","d-m=x*3","d-m=-x/3",NULL,"B","A",0,901,1965,"d=-m+x*3",2,"2015-04-23 19:03:37"
46,13,"0FCCBB","main","interactive",1,35,"b-4=t/x","b=t/x-4","b=t/x+4","x*b-4=t",NULL,"B","B",1,2332,3478,"b-4=t/x",2,"2015-04-23 19:03:42"
47,13,"0FCCBB","main","interactive",2,30,"x=4/(n+f)","x/(n+f)=4","x*n+f=4","x*(n+f)=4",NULL,"C","B",0,2507,7780,"x*n+f=4",3,"2015-04-23 19:03:57"
48,13,"0FCCBB","main","interactive",3,63,"x+t=12-f","f+x+t=12","x-f+t=12","x+t+12=-f",NULL,"A","C",0,5264,8690,"x+t=-12-f",2,"2015-04-23 19:04:13"
49,13,"0FCCBB","main","interactive",4,50,"x=(16-f)/(a+c)","(a+c)/x=16-f","(a-c)x=16-f","(a+c)x=16-f",NULL,"C","C",1,3917,5250,"x=(16-f)/(a+c)",2,"2015-04-23 19:04:20"
50,13,"0FCCBB","main","interactive",5,3,"x=-7*s","x/-7=s","-7/x=s","x=s-7",NULL,"A","A",1,2503,4225,"x=-7*s",4,"2015-04-23 19:04:25"
51,13,"0FCCBB","main","interactive",6,59,"x=-w/(e-15)","x(e-15)=-w","x/(e-15)=-w","x+15=-w/e",NULL,"A","A",1,2624,3698,"x=-w/(e-15)",1,"2015-04-23 19:04:31"
52,13,"0FCCBB","main","interactive",7,57,"9=x(d-v)","9=x*d-v*d","9=d*x-v*x","9=d*x+v*x",NULL,"B","B",1,6039,7648,"9=x*(d-v)",2,"2015-04-23 19:04:40"
53,13,"0FCCBB","main","interactive",8,41,"4/b=w-x","4=b/(w-x)","4=b(w-x)","4/b-x=w",NULL,"B","B",1,2545,4587,"4/b=w-x",5,"2015-04-23 19:04:46"
54,13,"0FCCBB","main","interactive",9,24,"x=(16*v)/e","x*e=16*v","16*x=e*v","x/e=16*v",NULL,"A","A",0,3160,10610,"x=(16/e)*v",9,"2015-04-23 19:05:04"
55,13,"0FCCBB","main","interactive",10,15,"r*3=x-c","r=3*(x-c)","r=(x-c)/3","r=x-c-3",NULL,"B","A",0,54971,55469,"(1/3)*r=x-c",2,"2015-04-23 19:06:06"
56,13,"0FCCBB","main","interactive",11,2,"c*2=x","c=x*2","c=x/2","x=c/2",NULL,"B","B",1,4503,5762,"c*2=x",3,"2015-04-23 19:06:13"
57,13,"0FCCBB","main","interactive",12,60,"x(10-m)=-n","x/10-x/m=-n","10*x-m*x=-n","10*x-m=-n",NULL,"B","B",0,3736,5130,"(10-m)*x=-n",1,"2015-04-23 19:06:26"
58,13,"0FCCBB","main","interactive",13,51,"(b+g)x=q-2","b/x+g/x=q-2","b*x-g*x=q-2","b*x+g*x=q-2",NULL,"C","C",1,3325,4663,"(b+g)*x=q-2",1,"2015-04-23 19:06:32"
59,13,"0FCCBB","main","interactive",14,40,"3/m+x=u","3/m=u+x","3/m=u-x","3+x=u*m",NULL,"B","B",1,5077,6246,"(3/m)+x=u",2,"2015-04-23 19:06:40"
60,13,"149F43","pre","static",0,0,"x-3=s",NULL,NULL,NULL,NULL,"x=s+3","x=4",0,1477,2348,NULL,NULL,"2015-04-23 19:06:55"
61,13,"149F43","pre","static",1,17,"x*10-x=d",NULL,NULL,NULL,NULL,"x=d/9","x=4",0,47,591,NULL,NULL,"2015-04-23 19:06:56"
62,13,"149F43","pre","static",2,13,"r=9+t/x",NULL,NULL,NULL,NULL,"x=t/(r-9)","x=",0,216,328,NULL,NULL,"2015-04-23 19:06:57"
63,13,"149F43","pre","static",3,3,"x/-6=m",NULL,NULL,NULL,NULL,"x=-6m","x=",0,250,354,NULL,NULL,"2015-04-23 19:06:58"
64,13,"149F43","pre","static",4,8,"8=(r+x)/k",NULL,NULL,NULL,NULL,"8k-r=x","4=x",0,218,338,NULL,NULL,"2015-04-23 19:06:58"
65,13,"149F43","pre","static",5,2,"12=x/b",NULL,NULL,NULL,NULL,"12b=x","4=x",0,68,364,NULL,NULL,"2015-04-23 19:06:59"
66,13,"149F43","pre","static",6,19,"8x+p=ex",NULL,NULL,NULL,NULL,"p/(e-8)=x","4=x",0,26,329,NULL,NULL,"2015-04-23 19:07:00"
67,13,"149F43","pre","static",7,1,"7=c+x",NULL,NULL,NULL,NULL,"7-c=x","=x",0,246,388,NULL,NULL,"2015-04-23 19:07:01"
68,13,"149F43","pre","static",8,6,"p=9+x/a",NULL,NULL,NULL,NULL,"(p-9)*a=x","=x",0,155,275,NULL,NULL,"2015-04-23 19:07:02"
69,13,"149F43","pre","static",9,14,"r/(x+16)=v",NULL,NULL,NULL,NULL,"r/v-16=x","=x",0,11,139,NULL,NULL,"2015-04-23 19:07:03"
70,13,"149F43","pre","static",10,7,"b=t*x-11",NULL,NULL,NULL,NULL,"(b+11)/t=x","=x",0,0,70,NULL,NULL,"2015-04-23 19:07:03"
71,13,"149F43","pre","static",11,12,"15/v=n/x",NULL,NULL,NULL,NULL,"x=(nv)/15","x=",0,2,82,NULL,NULL,"2015-04-23 19:07:04"
72,13,"149F43","pre","static",12,10,"t*(15+x)=w",NULL,NULL,NULL,NULL,"x=w/t-15","x=",0,0,70,NULL,NULL,"2015-04-23 19:07:04"
73,13,"149F43","pre","static",13,16,"14=bx-r-xm",NULL,NULL,NULL,NULL,"(14+r)/(b-m)=x","=x",0,0,88,NULL,NULL,"2015-04-23 19:07:05"
74,13,"149F43","pre","static",14,5,"-r*x=9",NULL,NULL,NULL,NULL,"x=9/-r","x=",0,417,561,NULL,NULL,"2015-04-23 19:07:06"
75,13,"149F43","pre","static",15,4,"11=x*a",NULL,NULL,NULL,NULL,"11/a=x","=x",0,109,197,NULL,NULL,"2015-04-23 19:07:07"
76,13,"149F43","pre","static",16,11,"-b/x=1/12",NULL,NULL,NULL,NULL,"-b*12=x","=x",0,21,164,NULL,NULL,"2015-04-23 19:07:07"
77,13,"149F43","pre","static",17,18,"p=x/12-tx",NULL,NULL,NULL,NULL,"p/(1/12-t)=x","=x",0,0,156,NULL,NULL,"2015-04-23 19:07:08"
78,13,"149F43","pre","static",18,9,"s=10/x",NULL,NULL,NULL,NULL,"x=10/s","x=",0,0,76,NULL,NULL,"2015-04-23 19:07:09"
79,13,"149F43","pre","static",19,15,"hx+nx=13",NULL,NULL,NULL,NULL,"x=13/(h+n)","x=",0,0,34,NULL,NULL,"2015-04-23 19:07:09"
80,13,"149F43","main","static",0,2,"t*10=x","x=t/10","t=x/10","t=x*10",NULL,"B","B",1,3549,3670,"B",1,"2015-04-23 19:07:45"
81,13,"149F43","main","static",1,43,"x=m/(16+p)","(16+p)x=m","x/(16+p)=m","x-1/p=m/16",NULL,"A","A",1,5262,5374,"A",1,"2015-04-23 19:07:51"
82,13,"149F43","main","static",2,50,"x=(e-f)/(2+d)","x*2+d=e-f","(2+d)x=e-f","(2+d)/x=e-f",NULL,"B","B",1,676,820,"B",1,"2015-04-23 19:07:54"
83,13,"149F43","main","static",3,40,"s/6+x=m","s/6=m+x","s+x=m*6","s/6=m-x",NULL,"C","B",0,211,345,"B",1,"2015-04-23 19:08:02"
84,13,"149F43","main","static",4,26,"g/9*x=r","9/g=r/x","1/9*x=r*g","g/9=r/x",NULL,"C","B",0,775,903,"B",1,"2015-04-23 19:08:10"
85,13,"149F43","main","static",5,21,"x=f/w-13","x+13=f*w","x*w=f-13","x+13=f/w",NULL,"C","A",0,2078,2206,"A",1,"2015-04-23 19:08:20"
86,13,"149F43","main","static",6,19,"x=2/k+f","x/2=1/k+f","x*k=2+f","-f+x=2/k",NULL,"C","C",1,1277,2133,"C",1,"2015-04-23 19:08:24"
87,13,"0FCCBB","main","interactive",15,58,"14=u*x-e*x","e*x*14=u*x","e*x+14=u*x","e*x-14=u*x",NULL,"B","B",1,109835,112444,"14=u*x-e*x",4,"2015-04-23 19:08:34"
88,13,"0FCCBB","main","interactive",16,23,"-10=x/f","-10*x=1/f","-10/x=1/f","-10/x=f",NULL,"B","B",1,5238,9337,"-10=x/f",11,"2015-04-23 19:08:44"
89,13,"0FCCBB","main","interactive",17,19,"x=c/p+12","x+12=c/p","-12+x=c/p","x/c=1/p+12",NULL,"B","B",1,2522,3869,"x=(c/p)+12",2,"2015-04-23 19:08:50"
90,13,"0FCCBB","main","interactive",18,1,"8-g=x","8=g+x","-g=x+8","g-8=x",NULL,"A","B",0,2378,5323,"-8-g=x",3,"2015-04-23 19:09:02"
91,13,"0FCCBB","main","interactive",19,25,"x*n=s*10","x*n*10=s","x*n=s/10","(x*n)/10=s",NULL,"C","C",1,3083,4886,"x*n=s*10",3,"2015-04-23 19:09:09"
92,13,"0FCCBB","main","interactive",20,28,"-q*x=f*10","x*(-q*10)=f","(-q*x)/10=f","-q*x*10=f",NULL,"B","B",1,4680,22194,"-q*x=f*10",7,"2015-04-23 19:09:32"
93,13,"0FCCBB","main","interactive",21,34,"(9-c)*x=e","9-c=e*x","9-c=e/x","-c*x=e-9",NULL,"B","B",1,2113,4995,"(9-c)*x=e",3,"2015-04-23 19:09:39"
94,13,"0FCCBB","main","interactive",22,7,"u-a=x/14","u=x/14-a","u=a+x/14","u=a-x/14",NULL,"B","B",1,2011,3765,"u-a=x/14",1,"2015-04-23 19:09:44"
95,13,"149F43","main","static",7,10,"(v-16)/p=x","v-16=x/p","v-16=x*p","v-16=-x/p",NULL,"B","A",0,129355,129475,"A",1,"2015-04-23 19:10:41"
96,13,"0FCCBB","main","interactive",23,31,"(v+e)*x=12","x=(v+e)*12","v+e=12/x","v+e=x/12",NULL,"B","B",0,50674,51300,"v=(12/x)-e",1,"2015-04-23 19:10:43"
97,13,"149F43","main","static",8,32,"k+9=p/x","k=p*x-9","k=p/x+9","k=p/x-9",NULL,"C","A",0,3623,3703,"A",1,"2015-04-23 19:10:52"
98,13,"0FCCBB","main","interactive",24,55,"b+13=c*x-x*m","-b=c*x-13-x*m","b=c*x-13-x*m","b=c*x+13-m*x",NULL,"B","B",1,9118,9896,"b+13=c*x-x*m",2,"2015-04-23 19:10:54"
99,13,"D73354","pre","interactive",0,6,"p=9+x/a",NULL,NULL,NULL,NULL,"(p-9)*a=x","=x",0,26887,27095,NULL,NULL,"2015-04-23 20:05:46"
100,13,"D73354","pre","interactive",1,4,"11=x*a",NULL,NULL,NULL,NULL,"11/a=x","=x",0,8552,8728,NULL,NULL,"2015-04-23 20:05:55"
101,13,"D73354","pre","interactive",2,13,"e=6+p/x",NULL,NULL,NULL,NULL,"x=p/(e-6)","x=",0,8258,8449,NULL,NULL,"2015-04-23 20:06:04"
102,13,"D73354","pre","interactive",3,1,"4=b+x",NULL,NULL,NULL,NULL,"4-b=x","4-b=x",1,7203,30619,NULL,NULL,"2015-04-23 20:06:35"
103,13,"D73354","pre","interactive",4,18,"p=x/12-tx",NULL,NULL,NULL,NULL,"p/(1/12-t)=x","12*(p+tx)=x",0,14483,34130,NULL,NULL,"2015-04-23 20:07:10"
104,13,"D73354","pre","interactive",5,16,"f=14x-b-xu",NULL,NULL,NULL,NULL,"(f+b)/(14-u)=x","(f+xu+b)/14=x",0,5234,25785,NULL,NULL,"2015-04-23 20:07:36"
105,13,"D73354","pre","interactive",6,5,"-15*x=m",NULL,NULL,NULL,NULL,"x=m/-15","x=m/(-15)",0,4379,14874,NULL,NULL,"2015-04-23 20:07:52"
106,13,"D73354","pre","interactive",7,3,"x/-6=m",NULL,NULL,NULL,NULL,"x=-6m","x=(-6)*m",0,3340,16556,NULL,NULL,"2015-04-23 20:08:09"
107,13,"D73354","pre","interactive",8,10,"t*(15+x)=w",NULL,NULL,NULL,NULL,"x=w/t-15","x=(w/t)-15",0,3803,15322,NULL,NULL,"2015-04-23 20:08:25"
108,13,"D73354","pre","interactive",9,14,"10/(x+q)=f",NULL,NULL,NULL,NULL,"10/f-q=x","(10/f)-q=x",0,2442,76280,NULL,NULL,"2015-04-23 20:09:41"
109,13,"D73354","pre","interactive",10,19,"8x+p=ex",NULL,NULL,NULL,NULL,"p/(e-8)=x","(8x+p)/e=x",0,30833,93976,NULL,NULL,"2015-04-23 20:11:16"
110,13,"D73354","pre","interactive",11,15,"ex+6x=v",NULL,NULL,NULL,NULL,"x=v/(e+6)","x=v/(e+6)",1,68138,88554,NULL,NULL,"2015-04-23 20:12:45"
111,13,"D73354","pre","interactive",12,9,"s=10/x",NULL,NULL,NULL,NULL,"x=10/s","x=10/s",1,4964,71202,NULL,NULL,"2015-04-23 20:13:57"
112,13,"D73354","pre","interactive",13,0,"x-3=s",NULL,NULL,NULL,NULL,"x=s+3","x=s+3",1,5840,9216,NULL,NULL,"2015-04-23 20:14:06"
113,13,"D73354","pre","interactive",14,12,"16/m=c/x",NULL,NULL,NULL,NULL,"x=(cm)/16","x=c/(16/m)",0,5138,50257,NULL,NULL,"2015-04-23 20:14:57"
114,13,"D73354","pre","interactive",15,8,"8=(b+x)/n",NULL,NULL,NULL,NULL,"8n-b=x","8n-b=x",1,4602,17921,NULL,NULL,"2015-04-23 20:15:16"
115,13,"D73354","pre","interactive",16,2,"m=x/13",NULL,NULL,NULL,NULL,"m13=x","13m=x",0,3869,4996,NULL,NULL,"2015-04-23 20:15:21"
116,13,"D73354","pre","interactive",17,7,"b=t*x-11",NULL,NULL,NULL,NULL,"(b+11)/t=x","(11+b)/t=x",0,7604,18668,NULL,NULL,"2015-04-23 20:15:40"
117,13,"D73354","pre","interactive",18,11,"-b/x=1/12",NULL,NULL,NULL,NULL,"-b*12=x","(-b)/(1/12)=x",0,8459,20546,NULL,NULL,"2015-04-23 20:16:01"
118,13,"D73354","pre","interactive",19,17,"x*10-x=d",NULL,NULL,NULL,NULL,"x=d/9","x=(1/9)d",0,8498,222709,NULL,NULL,"2015-04-23 20:19:44"
119,13,"D73354","main","interactive",0,10,"(4-t)/g=x","4-t=x/g","4-t=x*g","4-t=-x/g",NULL,"B","A",0,4722,18420,"4-t=x/g",26,"2015-04-23 20:23:21"
120,13,"D73354","main","interactive",1,37,"g/p=x+6","1/p=g(x+6)","g=p(x+6)","g/p+6=x",NULL,"B","C",0,29076,30990,"g/p=x-6",3,"2015-04-23 20:23:59"
121,13,"D73354","main","interactive",2,12,"x=d*5+h","x/h=d*5","x-h=d*5","x+d*5=h",NULL,"B","B",1,11731,12856,"x=d*5+h",1,"2015-04-23 20:24:14"
122,13,"D73354","main","interactive",3,1,"e-2=x","e=2+x","e=2-x","-2=x+e",NULL,"A","A",1,7058,8904,"e-2=x",1,"2015-04-23 20:24:24"
123,13,"D73354","main","interactive",4,17,"-h/9=x","-h=9*x","9=-h*x","-h=x/9",NULL,"A","A",1,3756,7006,"-h/9=x",7,"2015-04-23 20:24:33"
124,13,"D73354","main","interactive",5,40,"15/t+x=p","15/t=p+x","15/t+x-p=1","15/t=p-x",NULL,"C","C",1,7727,9257,"(15/t)+x=p",2,"2015-04-23 20:24:43"
125,13,"D73354","main","interactive",6,20,"x-b=d/14","(x-b)*14=d","(x-b)/14=d","x=d/14-b",NULL,"A","B",0,5560,8477,"(x-b)/14=d",4,"2015-04-23 20:24:59"
126,13,"D73354","main","interactive",7,51,"(h+w)x=13-m","h*x+w*x=13+m","h*x+w*x=13-m","h*x-w*x=13-m",NULL,"B","B",1,13308,17326,"(h+w)*x=13-m",1,"2015-04-23 20:25:18"
127,13,"D73354","main","interactive",8,52,"d*x+w*x=9-a","d*x-a+w*x=9","d*x+a+w*x=9","d*x+a+w*x=-9",NULL,"B","B",1,12038,14140,"d*x+w*x=9-a",4,"2015-04-23 20:25:34"
128,13,"D73354","main","interactive",9,0,"x=10+d","x+d=10","d*x=10","x-d=10",NULL,"C","C",1,6936,8094,"x=10+d",1,"2015-04-23 20:25:43"
129,13,"D73354","main","interactive",10,13,"x-m=s*6","(x-m)/6=s","x=s*6-m","(x-m)*6=s",NULL,"A","A",1,10270,12181,"x-m=s*6",3,"2015-04-23 20:25:57"
130,13,"D73354","main","interactive",11,50,"x=(m-8)/(a+c)","(a+c)x=m-8","(a-c)x=m-8","x*a+c=m-8",NULL,"A","A",1,18284,19918,"x=(m-8)/(a+c)",1,"2015-04-23 20:26:18"
131,13,"D73354","main","interactive",12,4,"15/b=x","x=b*15","15=b/x","15=x*b",NULL,"C","C",1,8431,11250,"15/b=x",8,"2015-04-23 20:26:31"
132,13,"D73354","main","interactive",13,45,"c=(1/k-9)x","c=x/k-x/9","c=1/k-9*x","c=x/k-9*x",NULL,"C","C",1,35988,38719,"c=((1/k)-9)*x",2,"2015-04-23 20:27:11"
133,13,"D73354","main","interactive",14,39,"x=a-b/15","x*15=a-b","x+a=-(b/15)","b/15+x=a",NULL,"C","C",1,23215,24745,"x=a-(b/15)",2,"2015-04-23 20:27:38"
134,13,"D73354","main","interactive",15,14,"9*w-g=x","9*w=x-g","9*w=x+g","9*w=g-x",NULL,"B","B",1,11431,13174,"9*w-g=x",2,"2015-04-23 20:27:52"
135,13,"D73354","main","interactive",16,7,"s-p=x/12","s=x/12-p","s=p+x/12","s=(x+p)/12",NULL,"B","B",1,4426,5256,"s-p=x/12",1,"2015-04-23 20:27:59"
136,13,"D73354","main","interactive",17,28,"-c*x=5*u","x*(-c*u)=5","(-c*x)/u=5","-c*x*u=5",NULL,"B","B",1,4933,5834,"-c*x=5*u",3,"2015-04-23 20:28:07"
137,13,"D73354","main","interactive",18,35,"w-4=m/x","w=m/x+4","x*w-4=m","(w-4)/x=m",NULL,"A","A",0,4833,6187,"w=4+(m/x)",1,"2015-04-23 20:28:20"
138,13,"D73354","main","interactive",19,62,"x=p-k-13","x+k=p+13","x-13=p-k","x+13=p-k",NULL,"C","C",1,7665,10658,"x=p-k-13",4,"2015-04-23 20:28:32"
139,13,"D73354","main","interactive",20,61,"p*x-x*10=-f","p*x=-f+x*10","p*x=-f-x*10","p*x=-f+x/10",NULL,"A","A",0,12835,32755,"p*x=(-(f/10)+x)*10",19,"2015-04-23 20:29:12"
140,13,"D73354","main","interactive",21,2,"f*13=x","f=x*13","f=13/x","f=x/13",NULL,"C","C",1,6052,7630,"f*13=x",3,"2015-04-23 20:29:21"
141,13,"D73354","main","interactive",22,24,"x=(a*h)/10","x/10=a*h","a*x=10*h","x*10=a*h",NULL,"C","C",1,8474,9548,"x=(a*h)/10",1,"2015-04-23 20:29:32"
142,13,"D73354","main","interactive",23,16,"x=4/k","4*x=k","x/k=4","k*x=4",NULL,"C","C",1,8046,13924,"x=4/k",10,"2015-04-23 20:29:48"
143,13,"D73354","main","interactive",24,38,"f=12(x+c)","f/x=12+c","f-c=12x","f/(x+c)=12",NULL,"C","C",1,12875,21367,"f=12*(x+c)",5,"2015-04-23 20:30:11"
144,13,"D73354","main","interactive",25,41,"k/14=w-x","k=(w-x)/14","k=14(w-x)","k/14-x=w",NULL,"B","B",1,10678,13327,"k/14=w-x",5,"2015-04-23 20:30:25"
145,13,"D73354","main","interactive",26,18,"-14=t*x","x/-14=t","-14/x=t","14/x=t",NULL,"B","B",1,4650,5580,"-14=t*x",1,"2015-04-23 20:30:33"
146,13,"D73354","main","interactive",27,59,"x=-c/(d-2)","x(d-2)=-c","x+2=-c/d","x/(d-2)=-c",NULL,"A","A",1,8953,11100,"x=-c/(d-2)",3,"2015-04-23 20:30:45"
147,13,"D73354","main","interactive",28,9,"13+s=u*x","13=u/x-s","-13=u*x-s","13=u*x-s",NULL,"C","C",1,12170,13755,"13+s=u*x",2,"2015-04-23 20:31:01"
148,13,"D73354","main","interactive",29,29,"(-r/w)*x=15","-r*x=15/w","-r/w=15/x","-r/w=15*x",NULL,"B","B",1,5971,7678,"(-r/w)*x=15",4,"2015-04-23 20:31:10"
