id,exp_id,"subject_id","stage","cond",trial_idx,task_id,"task","optionA","optionB","optionC","optionD","correct_answer","recorded_answer",recorded_accuracy,recorded_time_to_action,recorded_time_to_submit,"recorded_action_result",recorded_action_count,"timestamp"
1,13,"D9DF62","pre","interactive",0,3,"x/-6=m",NULL,NULL,NULL,NULL,"x=-6m","x=-6m",1,6245,9124,NULL,NULL,"2015-04-23 15:37:29"
2,13,"0C542B","pre","static",0,0,"x-k=3",NULL,NULL,NULL,NULL,"x=3+k","x=3+k",1,2844,3786,NULL,NULL,"2015-04-23 15:37:58"
3,13,"0C542B","pre","static",1,14,"10/(x+q)=f",NULL,NULL,NULL,NULL,"10/f-q=x","=x",0,0,945,NULL,NULL,"2015-04-23 15:37:59"
4,13,"0C542B","pre","static",2,18,"p=x/12-tx",NULL,NULL,NULL,NULL,"p/(1/12-t)=x","=x",0,15899,16001,NULL,NULL,"2015-04-23 15:38:16"
5,13,"0C542B","pre","static",3,5,"-r*x=9",NULL,NULL,NULL,NULL,"x=9/-r","x=",0,0,14,NULL,NULL,"2015-04-23 15:38:16"
6,13,"0C542B","pre","static",4,7,"b=t*x-11",NULL,NULL,NULL,NULL,"(b+11)/t=x","=x",0,0,9,NULL,NULL,"2015-04-23 15:38:17"
7,13,"0C542B","pre","static",5,8,"8=(b+x)/n",NULL,NULL,NULL,NULL,"8n-b=x","=x",0,0,9,NULL,NULL,"2015-04-23 15:38:17"
8,13,"0C542B","pre","static",6,19,"8x+p=ex",NULL,NULL,NULL,NULL,"p/(e-8)=x","=x",0,49,132,NULL,NULL,"2015-04-23 15:38:18"
9,13,"0C542B","pre","static",7,12,"15/v=n/x",NULL,NULL,NULL,NULL,"x=(nv)/15","x=",0,47,116,NULL,NULL,"2015-04-23 15:38:19"
10,13,"0C542B","pre","static",8,1,"4=b+x",NULL,NULL,NULL,NULL,"4-b=x","=x",0,74,145,NULL,NULL,"2015-04-23 15:38:19"
11,13,"0C542B","pre","static",9,9,"s=10/x",NULL,NULL,NULL,NULL,"x=10/s","x=",0,93,156,NULL,NULL,"2015-04-23 15:38:20"
12,13,"0C542B","pre","static",10,11,"-14/x=1/q",NULL,NULL,NULL,NULL,"-14q=x","=x",0,0,4,NULL,NULL,"2015-04-23 15:38:20"
13,13,"0C542B","pre","static",11,3,"x/-10=s",NULL,NULL,NULL,NULL,"x=-10s","x=",0,64,135,NULL,NULL,"2015-04-23 15:38:21"
14,13,"0C542B","pre","static",12,17,"x*10-x=d",NULL,NULL,NULL,NULL,"x=d/9","x=",0,2401,2464,NULL,NULL,"2015-04-23 15:38:24"
15,13,"0C542B","pre","static",13,4,"14=x*c",NULL,NULL,NULL,NULL,"14/c=x","=x",0,112,167,NULL,NULL,"2015-04-23 15:38:25"
16,13,"0C542B","pre","static",14,6,"p=9+x/a",NULL,NULL,NULL,NULL,"(p-9)*a=x","=x",0,134,181,NULL,NULL,"2015-04-23 15:38:25"
17,13,"0C542B","pre","static",15,13,"e=6+p/x",NULL,NULL,NULL,NULL,"x=p/(e-6)","x=",0,41,96,NULL,NULL,"2015-04-23 15:38:26"
18,13,"0C542B","pre","static",16,16,"14=bx-r-xm",NULL,NULL,NULL,NULL,"(14+r)/(b-m)=x","=x",0,85,133,NULL,NULL,"2015-04-23 15:38:27"
19,13,"0C542B","pre","static",17,15,"ex+6x=v",NULL,NULL,NULL,NULL,"x=v/(e+6)","x=",0,46,120,NULL,NULL,"2015-04-23 15:38:27"
20,13,"0C542B","pre","static",18,10,"t*(15+x)=w",NULL,NULL,NULL,NULL,"x=w/t-15","x=",0,19,82,NULL,NULL,"2015-04-23 15:38:28"
21,13,"0C542B","pre","static",19,2,"m=x/13",NULL,NULL,NULL,NULL,"m13=x","=x",0,23,79,NULL,NULL,"2015-04-23 15:38:28"
22,13,"0C542B","main","static",0,7,"8-k=x/t","8=x/t-k","8=k+x/t","8=k-x/t",NULL,"B","B",1,3116,3780,"B",1,"2015-04-23 15:38:58"
23,13,"0C542B","main","static",1,22,"-w*12=x","12=x+w","-w=x*12","-w=x/12",NULL,"C","C",1,30793,30841,"C",1,"2015-04-23 15:39:30"
24,13,"0C542B","main","static",2,30,"x=10/(g+q)","x/(g+q)=10","x*10=1/(g+q)","x*(g+q)=10",NULL,"C","A",0,651,731,"A",1,"2015-04-23 15:39:38"
25,13,"0FCCBB","pre","interactive",0,7,"b=t*x-11",NULL,NULL,NULL,NULL,"(b+11)/t=x","3=x",0,2495,2822,NULL,NULL,"2015-04-23 19:02:15"
26,13,"0FCCBB","pre","interactive",1,6,"8=r+x/a",NULL,NULL,NULL,NULL,"(8-r)*a=x","3=x",0,989,1277,NULL,NULL,"2015-04-23 19:02:17"
